after load_pe
    PC:  5368716394 -> 5368716408, op->size=8, di->imm.addr=12 ; disp=0, dispSize=0
    PC:  5368716403 -> 5368785660, op->size=32, di->imm.addr=69252 ; disp=0, dispSize=0
    PC:  5368716425 -> 5368802832, op->size=32, di->imm.addr=86402 ; disp=0, dispSize=0
    PC:  5368716543 -> 5368808506, op->size=32, di->imm.addr=91958 ; disp=0, dispSize=0
    PC:  5368716573 -> 5368759776, op->size=32, di->imm.addr=43198 ; disp=0, dispSize=0
    PC:  5368716580 -> 5368716830, op->size=32, di->imm.addr=244 ; disp=0, dispSize=0
    PC:  5368716615 -> 5368763264, op->size=32, di->imm.addr=46644 ; disp=0, dispSize=0
    PC:  5368716629 -> 5368716652, op->size=8, di->imm.addr=21 ; disp=0, dispSize=0
    PC:  5368716643 -> 5368838037, op->size=32, di->imm.addr=121388 ; disp=0, dispSize=0
    PC:  5368716655 -> 5368780016, op->size=32, di->imm.addr=63356 ; disp=0, dispSize=0
    PC:  5368716674 -> 5368716667, op->size=8, di->imm.addr=-9 ; disp=0, dispSize=0
    PC:  5368716685 -> 5368777424, op->size=32, di->imm.addr=60734 ; disp=0, dispSize=0
    PC:  5368716693 -> 5368838089, op->size=32, di->imm.addr=121390 ; disp=0, dispSize=0
    PC:  5368716732 -> 5368745628, op->size=32, di->imm.addr=28891 ; disp=0, dispSize=0
    PC:  5368716761 -> 5368785660, op->size=32, di->imm.addr=68894 ; disp=0, dispSize=0
    PC:  5368716797 -> 5368802832, op->size=32, di->imm.addr=86030 ; disp=0, dispSize=0
    PC:  5368716833 -> 5368716772, op->size=8, di->imm.addr=-63 ; disp=0, dispSize=0
    PC:  5368716965 -> 5368838206, op->size=32, di->imm.addr=121235 ; disp=0, dispSize=0
    PC:  5368717028 -> 5368808506, op->size=32, di->imm.addr=91473 ; disp=0, dispSize=0
    PC:  5368717066 -> 5368808506, op->size=32, di->imm.addr=91435 ; disp=0, dispSize=0
    PC:  5368717104 -> 5368808506, op->size=32, di->imm.addr=91397 ; disp=0, dispSize=0
    PC:  5368717142 -> 5368808506, op->size=32, di->imm.addr=91359 ; disp=0, dispSize=0
    PC:  5368717171 -> 5368759776, op->size=32, di->imm.addr=42600 ; disp=0, dispSize=0
    PC:  5368717178 -> 5368841252, op->size=32, di->imm.addr=124068 ; disp=0, dispSize=0
    PC:  5368717211 -> 5368759776, op->size=32, di->imm.addr=42560 ; disp=0, dispSize=0
    PC:  5368717218 -> 5368841252, op->size=32, di->imm.addr=124028 ; disp=0, dispSize=0
    PC:  5368717251 -> 5368759776, op->size=32, di->imm.addr=42520 ; disp=0, dispSize=0
    PC:  5368717258 -> 5368841252, op->size=32, di->imm.addr=123988 ; disp=0, dispSize=0
    PC:  5368717295 -> 5368759776, op->size=32, di->imm.addr=42476 ; disp=0, dispSize=0
    PC:  5368717302 -> 5368841252, op->size=32, di->imm.addr=123944 ; disp=0, dispSize=0
    PC:  5368717322 -> 5368754788, op->size=32, di->imm.addr=37461 ; disp=0, dispSize=0
    PC:  5368717340 -> 5368721272, op->size=32, di->imm.addr=3927 ; disp=0, dispSize=0
    PC:  5368717356 -> 5368841252, op->size=32, di->imm.addr=123890 ; disp=0, dispSize=0
    PC:  5368717369 -> 5368838214, op->size=32, di->imm.addr=120839 ; disp=0, dispSize=0
    PC:  5368717382 -> 5368718661, op->size=32, di->imm.addr=1273 ; disp=0, dispSize=0
    PC:  5368717395 -> 5368780016, op->size=32, di->imm.addr=62616 ; disp=0, dispSize=0
    PC:  5368717431 -> 5368798400, op->size=32, di->imm.addr=80964 ; disp=0, dispSize=0
    PC:  5368717438 -> 5368838313, op->size=32, di->imm.addr=120869 ; disp=0, dispSize=0
    PC:  5368717455 -> 5368841138, op->size=32, di->imm.addr=123677 ; disp=0, dispSize=0
    PC:  5368717492 -> 5368721044, op->size=32, di->imm.addr=3547 ; disp=0, dispSize=0
    PC:  5368717504 -> 5368841124, op->size=32, di->imm.addr=123614 ; disp=0, dispSize=0
    PC:  5368717517 -> 5368718770, op->size=32, di->imm.addr=1247 ; disp=0, dispSize=0
